"Interval","Taxon","NISP"
195,"Microtus_ochrogaster_NISP",6
200,"Microtus_ochrogaster_NISP",4
205,"Microtus_ochrogaster_NISP",4
210,"Microtus_ochrogaster_NISP",11
215,"Microtus_ochrogaster_NISP",14
220,"Microtus_ochrogaster_NISP",2
225,"Microtus_ochrogaster_NISP",10
230,"Microtus_ochrogaster_NISP",20
235,"Microtus_ochrogaster_NISP",5
240,"Microtus_ochrogaster_NISP",8
245,"Microtus_ochrogaster_NISP",0
250,"Microtus_ochrogaster_NISP",0
255,"Microtus_ochrogaster_NISP",0
260,"Microtus_ochrogaster_NISP",1
265,"Microtus_ochrogaster_NISP",0
270,"Microtus_ochrogaster_NISP",0
275,"Microtus_ochrogaster_NISP",0
280,"Microtus_ochrogaster_NISP",2
285,"Microtus_ochrogaster_NISP",0
290,"Microtus_ochrogaster_NISP",3
295,"Microtus_ochrogaster_NISP",0
300,"Microtus_ochrogaster_NISP",0
305,"Microtus_ochrogaster_NISP",0
310,"Microtus_ochrogaster_NISP",0
315,"Microtus_ochrogaster_NISP",0
320,"Microtus_ochrogaster_NISP",0
325,"Microtus_ochrogaster_NISP",0
330,"Microtus_ochrogaster_NISP",0
335,"Microtus_ochrogaster_NISP",0
340,"Microtus_ochrogaster_NISP",0
345,"Microtus_ochrogaster_NISP",0
350,"Microtus_ochrogaster_NISP",0
0,"Pipistrellus_subflavus_NISP",1
5,"Pipistrellus_subflavus_NISP",1
10,"Pipistrellus_subflavus_NISP",0
15,"Pipistrellus_subflavus_NISP",2
20,"Pipistrellus_subflavus_NISP",0
25,"Pipistrellus_subflavus_NISP",0
30,"Pipistrellus_subflavus_NISP",0
35,"Pipistrellus_subflavus_NISP",0
40,"Pipistrellus_subflavus_NISP",0
45,"Pipistrellus_subflavus_NISP",0
50,"Pipistrellus_subflavus_NISP",0
55,"Pipistrellus_subflavus_NISP",0
60,"Pipistrellus_subflavus_NISP",0
65,"Pipistrellus_subflavus_NISP",0
70,"Pipistrellus_subflavus_NISP",0
75,"Pipistrellus_subflavus_NISP",0
80,"Pipistrellus_subflavus_NISP",0
85,"Pipistrellus_subflavus_NISP",0
90,"Pipistrellus_subflavus_NISP",0
95,"Pipistrellus_subflavus_NISP",1
100,"Pipistrellus_subflavus_NISP",0
105,"Pipistrellus_subflavus_NISP",0
110,"Pipistrellus_subflavus_NISP",0
115,"Pipistrellus_subflavus_NISP",1
120,"Pipistrellus_subflavus_NISP",0
125,"Pipistrellus_subflavus_NISP",2
130,"Pipistrellus_subflavus_NISP",4
135,"Pipistrellus_subflavus_NISP",1
140,"Pipistrellus_subflavus_NISP",0
145,"Pipistrellus_subflavus_NISP",3
150,"Pipistrellus_subflavus_NISP",0
155,"Pipistrellus_subflavus_NISP",2
160,"Pipistrellus_subflavus_NISP",7
165,"Pipistrellus_subflavus_NISP",0
170,"Pipistrellus_subflavus_NISP",1
175,"Pipistrellus_subflavus_NISP",15
180,"Pipistrellus_subflavus_NISP",5
185,"Pipistrellus_subflavus_NISP",3
190,"Pipistrellus_subflavus_NISP",1
195,"Pipistrellus_subflavus_NISP",4
200,"Pipistrellus_subflavus_NISP",18
205,"Pipistrellus_subflavus_NISP",4
210,"Pipistrellus_subflavus_NISP",6
215,"Pipistrellus_subflavus_NISP",2
220,"Pipistrellus_subflavus_NISP",0
225,"Pipistrellus_subflavus_NISP",1
230,"Pipistrellus_subflavus_NISP",2
235,"Pipistrellus_subflavus_NISP",3
240,"Pipistrellus_subflavus_NISP",1
245,"Pipistrellus_subflavus_NISP",1
250,"Pipistrellus_subflavus_NISP",0
255,"Pipistrellus_subflavus_NISP",0
260,"Pipistrellus_subflavus_NISP",0
265,"Pipistrellus_subflavus_NISP",0
270,"Pipistrellus_subflavus_NISP",0
275,"Pipistrellus_subflavus_NISP",0
